name,poster_path,kinopoisk_id,rate,metric
Герцогиня,https://imagetmdb.cub.red/t/p/w500/i3kJMZKBFO6HIQvk80x8ajUFnQI.jpg,5076454,5.3,0.6915422885572139
Ози: Голос джунглей,https://imagetmdb.cub.red/t/p/w500/4kze4bQ4pV8a1K3iiJXuNGedW2h.jpg,1408372,4.6,0.6909090909090909
Хочу сейчас,https://imagetmdb.cub.red/t/p/w500/jYRwQwLuefAsCHzvGgQs8mkuuDf.jpg,5591408,5.2,0.6896551724137931
Очень странные каникулы,https://imagetmdb.cub.red/t/p/w500/A1mOkfmENv9dQNIv2Rmap12ZKdM.jpg,5396298,5.7,0.6875
Формула популярности,https://imagetmdb.cub.red/t/p/w500/b0jGH7fDpzZ01A86Bc69lGRVUyB.jpg,5095521,6.4,0.6875
Побег,https://imagetmdb.cub.red/t/p/w500/ofXI3eJfpLvwZlwRV9iO1d9r6H7.jpg,5454712,5.5,0.6875
Маме снова 19,https://imagetmdb.cub.red/t/p/w500/sOWLJIdEGorCICtbo7wPSaCrm3E.jpg,4479623,6.5,0.6851851851851852
Город тайн: Исчезнувшая,https://imagetmdb.cub.red/t/p/w500/ez9LtVmvfbWjX9Spx4DrNEFVErx.jpg,4986329,5.8,0.6708185053380783
Досье «Чёрная канарейка»,https://imagetmdb.cub.red/t/p/w500/sst0jGr5ZRDCy7F5rYTmuFPI6VK.jpg,4993393,6.7,0.6698769395398609
Декамерон,https://imagetmdb.cub.red/t/p/w500/jbT1YxjyoG3j0LKFYFz8SbP2rFx.jpg,5511686,6.7,0.6692913385826772
Проклятие «Зов могилы»,https://imagetmdb.cub.red/t/p/w500/1UHG2mZ4NK3iBrB3o9pLtmfRvkh.jpg,5309411,6.8,0.6674876847290641
Лицей свободы,https://imagetmdb.cub.red/t/p/w500/mYEYM9H0E3O6ruurjhOHxjGHiSW.jpg,4698657,4.1,0.6666666666666666
Моя семья,https://imagetmdb.cub.red/t/p/w500/xbuEe1XYixTSiiRRkUQbtbG9SA4.jpg,5454533,6.9,0.6666666666666666
Сидони в Японии,https://imagetmdb.cub.red/t/p/w500/1XU9h4qMo3Xhl9o3OUhRzD3r5Wy.jpg,5368758,7.0,0.6666666666666666
Мой друг панда,https://imagetmdb.cub.red/t/p/w500/2rDHFtRtAiixl3eWT7h5pae6Tue.jpg,6223489,7.2,0.6666666666666666
Пацан против всех,https://imagetmdb.cub.red/t/p/w500/i7HM9yIjWUoCdUeDsEaCt3FMx9M.jpg,4672769,6.5,0.6648318042813456
Гиганты Ла-Манша,https://imagetmdb.cub.red/t/p/w500/oavxwUjSbdZxP1Z3SIQCa6g9AJu.jpg,1355067,5.8,0.6632653061224489
Чёрный пёс,https://imagetmdb.cub.red/t/p/w500/fLfYRTfAHlVZhbIU0ARfcZFv2HL.jpg,5504391,7.2,0.6619718309859155
Суперсанта,https://imagetmdb.cub.red/t/p/w500/jsfNTJXFCivNNvGD902Lt6AeqFu.jpg,5234103,7.4,0.6601941747572816
Хищные земли,https://imagetmdb.cub.red/t/p/w500/dO5O0FAgxL3KLz7QigeI5268YoQ.jpg,5212143,5.6,0.6598210654737698
Синяя тюрьма: Блю Лок — Эпизод Наги,https://imagetmdb.cub.red/t/p/w500/ne105dt2HavpaHp3cBT6rYwsJ2B.jpg,5638367,8.2,0.6568627450980392
Пушистое превращение,https://imagetmdb.cub.red/t/p/w500/uR70IF8Xiw3fnM2j5KBmDKyyP2o.jpg,5234101,6.9,0.656084656084656
Ворон,https://imagetmdb.cub.red/t/p/w500/msAYTWaQXWGoeChpp5EUGzpMpVb.jpg,441406,6.3,0.6538128249566725
Пять фунтов искупления,https://imagetmdb.cub.red/t/p/w500/pkcwRapBD1LV9cWT4gbcfbfNTE8.jpg,5189441,5.6,0.6486486486486487
Легенда,https://imagetmdb.cub.red/t/p/w500/aAGQGMFv6e5EiNGx7VIQD5mwtAR.jpg,5364759,7.0,0.6457142857142857
Королевский прилив,https://imagetmdb.cub.red/t/p/w500/xZclo4edwhiDMVw88yDKuuwWxHf.jpg,5082535,6.1,0.6417112299465241
Питомец Юрского периода. Возвращение домой,https://imagetmdb.cub.red/t/p/w500/c8uz2Mn44ha8tkso9uCc12poYmr.jpg,6563026,5.7,0.6388888888888888
Обнажённая муза Пьера Боннара,https://imagetmdb.cub.red/t/p/w500/1YL6lqwHFsLaFC00mRHaqJPavA0.jpg,5138825,7.4,0.6333333333333333
Лига справедливости: Кризис на бесконечных землях. Часть 3,https://imagetmdb.cub.red/t/p/w500/a3q8NkM8uTh9E23VsbUOdDSbBeN.jpg,5455342,6.1,0.631578947368421
Астрал. Кошмар в «Спринг Гарден»,https://imagetmdb.cub.red/t/p/w500/61RPfZBQGVYEzFwTvLfzoRggFNR.jpg,5257427,3.7,0.6307692307692307
Охотники из рая,https://imagetmdb.cub.red/t/p/w500/7DZwmSu4spDHCkuPDzIe5qD4sVt.jpg,5143504,6.1,0.6264367816091954
Во время игры,https://imagetmdb.cub.red/t/p/w500/32P0oQf41HXbENRGtu2h0rqBF2k.jpg,6040046,6.5,0.625
Револьвер,https://imagetmdb.cub.red/t/p/w500/h724xKiHCAavryVmTeW85TXZNLl.jpg,5379528,6.3,0.6226415094339622
Расхитители гробниц. Зеркала призраков,https://imagetmdb.cub.red/t/p/w500/bhtNqS1u4RYaGC5lF3csucbftFu.jpg,5354105,6.6,0.62
Подземная бездна,https://imagetmdb.cub.red/t/p/w500/foK52B7aQk14ANwAPbjfPJNEy1f.jpg,5582019,4.5,0.62
Мария,https://imagetmdb.cub.red/t/p/w500/aMzKiOOAbgSb5F23Zas1rqZ3r40.jpg,5138485,7.0,0.6172839506172839
Мунджья,https://imagetmdb.cub.red/t/p/w500/31zAzJs8O7dXcE0laUcBoaaNvwu.jpg,5627147,6.3,0.6153846153846154
Фантастическое путешествие,https://imagetmdb.cub.red/t/p/w500/nvLZuJ4UbG2DugpVChuiNyCHBh9.jpg,5463564,6.7,0.6140350877192983
Пожиратель грехов,https://imagetmdb.cub.red/t/p/w500/s0nHNcsgvTMs0mUlqehBRK0Lvmp.jpg,5518329,5.4,0.6136363636363636
В поисках Адама,https://imagetmdb.cub.red/t/p/w500/j731VLRdagdFlsw0LCFIn7whhAh.jpg,4385126,6.8,0.6129032258064516
Женщина в озере,https://imagetmdb.cub.red/t/p/w500/dPJae3g1Z03eqhF5HryBVWxwya8.jpg,4414584,6.0,0.6103896103896104
Кривая дорога,https://imagetmdb.cub.red/t/p/w500/xu625JDaSvBwaLf2tjv9foZY9M3.jpg,4477116,6.1,0.6071428571428571
Истребитель,https://imagetmdb.cub.red/t/p/w500/bWEDaGUByPiRYxIrAV0JtPa4q9l.jpg,4366607,6.7,0.6031746031746031
В тумане,https://imagetmdb.cub.red/t/p/w500/tooLKLhFGKKY48ZUsknd17Au8f8.jpg,1402889,6.6,0.6030624263839811
Ускорение,https://imagetmdb.cub.red/t/p/w500/dcS88F7G7W3fz8G0BstDt3nwFja.jpg,4745337,6.1,0.6015473887814313
Притворись моей невестой,https://imagetmdb.cub.red/t/p/w500/1PX0utE1j2abyI0NU4EZf07AhVy.jpg,5605745,6.0,0.6
Болеро. Душа Парижа,https://imagetmdb.cub.red/t/p/w500/ea7wiHbeoYF9mPc7vPjSZnsAZrO.jpg,5445453,7.2,0.6
Астрал. Медиум,https://imagetmdb.cub.red/t/p/w500/khYd7sU372SD9FQyENFVkaTRPBW.jpg,5581052,6.1,0.5957446808510638
Открытое море: Игра на выживание,https://imagetmdb.cub.red/t/p/w500/zVNclWuy00to86gtTvdYvd97XNf.jpg,5073073,5.9,0.5911111111111111
Страна чудес,https://imagetmdb.cub.red/t/p/w500/7AfZDB9X8iTF6VaacJIj5Lcb1bG.jpg,1297226,7.1,0.5882352941176471
Все мои друзья мертвы,https://imagetmdb.cub.red/t/p/w500/cSS27tOXPlN0UbzRSaWeFBRXb9B.jpg,5143280,4.6,0.5833333333333334
Моя девушка – робот,https://imagetmdb.cub.red/t/p/w500/3pQ0pYL3E47w7OgeSP8xvG0RPrU.jpg,5449074,6.2,0.5833333333333334
Идеальные друзья,https://imagetmdb.cub.red/t/p/w500/vCyBVwuXM71YaYAZUd2jHvYW223.jpg,4653627,6.0,0.58
Кара,https://imagetmdb.cub.red/t/p/w500/jFXAYtWP1kEQZ5cVPPvhaHCwixx.jpg,5194410,6.0,0.5797101449275363
Пушистые спасатели: Новая команда,https://imagetmdb.cub.red/t/p/w500/tFMSeMJhzolmtA14Azh0HPjNc1T.jpg,5454237,5.0,0.5675675675675675
Из глубины,https://imagetmdb.cub.red/t/p/w500/hd7R6iAy1IfHyad2tuj35G7S7VZ.jpg,4745604,6.1,0.5625531914893617
Бал сумасшедших,https://imagetmdb.cub.red/t/p/w500/oUgZq6yK5TQEwCYszgVV1s531Sc.jpg,1450335,5.6,0.56
Холоп из Парижа,https://imagetmdb.cub.red/t/p/w500/faInyAD7xFBwi6qiPkhWUEetIxV.jpg,5949652,6.2,0.56
Отпуск не по-детски,https://imagetmdb.cub.red/t/p/w500/cer7dxSy2ZyGThTobHKvkw4qPJY.jpg,5506245,5.9,0.55
Заклятие. Реинкарнация отца,https://imagetmdb.cub.red/t/p/w500/nJJwN6xqeT2n4xOCHOHxrNgL65a.jpg,5463489,5.7,0.5493827160493827
Паранормальные явления: Обитель,https://imagetmdb.cub.red/t/p/w500/hkHDeIkvoNRckEbivP408azrWzD.jpg,5448353,4.2,0.5476190476190477
Чанду – чемпион,https://imagetmdb.cub.red/t/p/w500/pg8MMnPlDLjllrv0wEWV5f0Ql74.jpg,5424959,7.8,0.5357142857142857
Пранкеры,https://imagetmdb.cub.red/t/p/w500/hk8eYislijanHeRavYgDLjwwJ4l.jpg,4541773,5.3,0.5333333333333333
Ужасающий 3,https://imagetmdb.cub.red/t/p/w500/kWunZQwjOajYN10McF1tk2R8UC7.jpg,5411536,6.2,0.5252173913043479
Диплодочек и волшебные миры,https://imagetmdb.cub.red/t/p/w500/sq1XWE6vSzxhOO155FdcZTSaPfy.jpg,6215230,6.6,0.525
Челюсти. Кровавый риф,https://imagetmdb.cub.red/t/p/w500/o26lFk9VOr6lAKFhsMMWI0oxn83.jpg,5454240,4.5,0.5217391304347826
Максин XXX,https://imagetmdb.cub.red/t/p/w500/6kOJ17Q5tOkEGnhNj1S9QppfEL9.jpg,5103848,6.0,0.520618556701031
Заговоренная,https://imagetmdb.cub.red/t/p/w500/pLURHWSMtzZEU9bHbkDIRu3V8Bi.jpg,5983639,5.1,0.5147058823529411
Крик. Сезон призраков,https://imagetmdb.cub.red/t/p/w500/icvjuVRnWzl77KrQ3vhfjAdp5yd.jpg,6014849,4.6,0.5094339622641509
Звериный рейс,https://imagetmdb.cub.red/t/p/w500/4c96uPpxLuxixdPZSWCa4uk1QSr.jpg,1173955,6.2,0.5057471264367817
След киллера,https://imagetmdb.cub.red/t/p/w500/AusoO8766oTq3o1PQeJpuPbt9hZ.jpg,5457984,5.4,0.5052631578947369
Кукушка,https://imagetmdb.cub.red/t/p/w500/ffhtHRrG10R2DKCg4aOtCtroWAw.jpg,4658336,5.5,0.5050761421319797
Я же говорила,https://imagetmdb.cub.red/t/p/w500/pRr4rZz7fqPM5LVms1FtPFr9m95.jpg,4889480,6.3,0.5
Призрачный свет,https://imagetmdb.cub.red/t/p/w500/qqXVL1F2hAgD0JZpP4MpW92KUcb.jpg,5902045,7.4,0.5
Хороший мальчик,https://imagetmdb.cub.red/t/p/w500/bLatYJwZcG63n1NjsbDkvyz8Gbk.jpg,5051546,6.1,0.5
(Не)бывшие,https://imagetmdb.cub.red/t/p/w500/nlDkcjfBfAe7jvAv1Jo3DC3cxOB.jpg,5362563,6.8,0.5
Веда,https://imagetmdb.cub.red/t/p/w500/wK0p210TWMH4P3isT1bI0FVEuZ9.jpg,5509148,6.0,0.5
Другой человек,https://imagetmdb.cub.red/t/p/w500/dX5CQBzWX6ePHj8WvHWideMYw5D.jpg,5024886,6.9,0.5
Реальные зомби,https://imagetmdb.cub.red/t/p/w500/xRONvBZTXeeYZQAmGuq09HrYG8g.jpg,5069638,5.8,0.49333333333333335
Партенопа,https://imagetmdb.cub.red/t/p/w500/eQPIcxWPDrLrIr5FVms1ms73GFX.jpg,5504261,7.4,0.49230769230769234
Бандиты во времени,https://imagetmdb.cub.red/t/p/w500/xGVoIFQDnFgExe0e31PoczyBuAo.jpg,590728,6.3,0.49107142857142855
Первые ведьмы. Потомство,https://imagetmdb.cub.red/t/p/w500/bPMs08M4a4szc5IYsxPrb78yx5r.jpg,5453351,5.5,0.4909090909090909
Команда зачистки,https://imagetmdb.cub.red/t/p/w500/uQgFwiwxiDWuTqaBN8rJ2Ktmvmn.jpg,5080586,5.7,0.48863636363636365
Ты не сможешь убегать вечно,https://imagetmdb.cub.red/t/p/w500/bhSjyAW7PDibeDrkbxzZbrLFbru.jpg,4646400,5.9,0.4883720930232558
Боец,https://imagetmdb.cub.red/t/p/w500/w3hqtZSjIJYr4S6EnjLFxFrt7hD.jpg,4745870,5.7,0.48
Обитель страха,https://imagetmdb.cub.red/t/p/w500/b5k0D3CAQEgnB9uLYE3YFKe374H.jpg,5463494,4.6,0.4794520547945205
Винни Пух: Кровь и мёд 2,https://imagetmdb.cub.red/t/p/w500/6CiwLG05lsNV7OuyZtQ6cIL48zk.jpg,5233426,5.8,0.47883597883597884
Холоп. Великолепный век,https://imagetmdb.cub.red/t/p/w500/99JkHMGszMBbNecENpajg05CFKS.jpg,5495322,6.2,0.4777777777777778
Арман,https://imagetmdb.cub.red/t/p/w500/voSz9DBbUkVivZthdt5DP4ZcIf9.jpg,5506137,6.6,0.4772727272727273
Пила. Джокер,https://imagetmdb.cub.red/t/p/w500/ney6iJ2BjVmW39xDsGt2Qnzs7uJ.jpg,5009103,5.9,0.47692307692307695
Заклятие Амелии,https://imagetmdb.cub.red/t/p/w500/ob4ZIcMoQ3ZVok8qaxKifB8We46.jpg,5261967,5.4,0.475
Незнакомцы: Начало,https://imagetmdb.cub.red/t/p/w500/baF3qzyzw4rjpdPbevjlOhLHAbS.jpg,5105974,5.1,0.4709480122324159
Наследники: Возвышение Рэд,https://imagetmdb.cub.red/t/p/w500/iiZVS6Sj59stYFFHKz0bPsCaq1X.jpg,5151174,6.1,0.47076023391812866
Присутствие,https://imagetmdb.cub.red/t/p/w500/hmRo2PCM0MmglFzytXxwnq30Jmb.jpg,5445463,5.7,0.4675324675324675
Город страха,https://imagetmdb.cub.red/t/p/w500/oETBrx64GzmR1CHNp9zeaxdUZEH.jpg,4908905,5.7,0.4666666666666667
Смелее чем я,https://imagetmdb.cub.red/t/p/w500/cKvom4C6fGIM1sOKINkBi7oCqok.jpg,5451194,6.6,0.4666666666666667
Пушпа 2: Власть,https://imagetmdb.cub.red/t/p/w500/q7FVL5xSqf29acJrvaFhxceX7Lo.jpg,4889669,6.3,0.4666666666666667
Профессионал,https://imagetmdb.cub.red/t/p/w500/uBAgrWuglga1Vo7oUlFL0KFORcN.jpg,1150822,6.1,0.4664823773324119
